"Description: ","Annual number of days contributing to events where 6 or more consecutive days experience TN < 10th percentile"
"Station: ","São Gabriel"
"Latitude: ","-30.34138888"
"Longitude: ","-54.31083333"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, csdi, normalised (all years)
2008, 0, -0.316227766016838
2009, 0, -0.316227766016838
2010, 0, -0.316227766016838
2011, 7, 2.84604989415154
2012, -99.9, -99.9
2013, 0, -0.316227766016838
2014, -99.9, -99.9
2015, 0, -0.316227766016838
2016, -99.9, -99.9
2017, 0, -0.316227766016838
2018, 0, -0.316227766016838
2019, 0, -0.316227766016838
2020, 0, -0.316227766016838
2021, -99.9, -99.9
2022, -99.9, -99.9
2023, -99.9, -99.9
2024, -99.9, -99.9
