"Description: ","Number of 2 consecutive days where both TX < 5th percentile and TN < 5th percentile"
"Station: ","Santa Maria"
"Latitude: ","-29.72499999"
"Longitude: ","-53.72055554"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, txb2tnb2, normalised (all years)
2008, 0, -0.301511344577764
2009, 0, -0.301511344577764
2010, 2, 3.01511344577764
2011, -99.9, -99.9
2012, -99.9, -99.9
2013, 0, -0.301511344577764
2014, -99.9, -99.9
2015, 0, -0.301511344577764
2016, 0, -0.301511344577764
2017, 0, -0.301511344577764
2018, 0, -0.301511344577764
2019, 0, -0.301511344577764
2020, -99.9, -99.9
2021, -99.9, -99.9
2022, 0, -0.301511344577764
2023, 0, -0.301511344577764
2024, -99.9, -99.9
