"Description: ","Annual number of days when TN < -2 degrees_C"
"Station: ","Santa Maria"
"Latitude: ","-29.72499999"
"Longitude: ","-53.72055554"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, tnltm2, normalised (all years)
2008, 0, -0.288675134594813
2009, 1, 3.17542648054294
2010, 0, -0.288675134594813
2011, -99.9, -99.9
2012, -99.9, -99.9
2013, 0, -0.288675134594813
2014, -99.9, -99.9
2015, 0, -0.288675134594813
2016, 0, -0.288675134594813
2017, 0, -0.288675134594813
2018, 0, -0.288675134594813
2019, 0, -0.288675134594813
2020, -99.9, -99.9
2021, 0, -0.288675134594813
2022, 0, -0.288675134594813
2023, 0, -0.288675134594813
2024, -99.9, -99.9
